f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18
ath-miR5630b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ath-miR5631	0	0	0	0	0	1	2	0	2	0	0	1	1	0	0	1	1	0
ath-miR5632-3p	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	2	0
ath-miR5632-5p	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	3
ath-miR5633	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ath-miR5634	0	0	0	1	1	10	0	3	5	0	1	2	0	2	0	3	2	0
ath-miR5635a	1	0	1	6	2	35	1	4	19	8	1	9	16	5	4	15	28	17
ath-miR5635b	1	0	1	6	2	36	1	5	19	8	1	9	16	5	4	16	28	19
ath-miR5635c	1	0	1	6	2	36	1	5	19	8	1	9	16	5	4	16	28	19
ath-miR5635d	1	0	1	6	2	36	1	5	19	8	1	9	16	5	4	16	28	19
ath-miR5636	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	3	0
ath-miR5637	1	1	0	6	3	8	5	15	12	0	0	5	7	5	0	8	8	9
ath-miR5638a	0	0	0	1	0	4	2	3	11	2	0	3	1	0	0	4	4	3
ath-miR5638b	1	0	0	13	10	57	18	5	4	9	11	8	6	6	7	20	4	17
ath-miR5639-5p	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
ath-miR5640	23	5	19	175	45	929	95	495	1188	89	31	495	577	266	442	550	641	1051
ath-miR5641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ath-miR5642a	248	176	418	8484	4654	3884	2313	4419	7759	2518	1836	2552	1719	853	1274	1853	2890	2540
ath-miR5642b	248	176	418	8484	4654	3884	2313	4419	7759	2518	1836	2552	1719	853	1274	1853	2890	2540
ath-miR5643a	1	0	0	1	1	0	1	1	5	0	0	3	4	4	1	6	3	2
ath-miR5643b	0	0	0	20	6	12	5	10	16	6	7	17	25	7	0	20	32	23
ath-miR5644	6	2	6	20	21	24	28	15	26	14	8	22	23	9	3	60	98	27
ath-miR5645a	0	0	0	3	0	8	8	7	11	3	0	5	2	2	1	7	10	23
ath-miR5645b	0	0	0	3	0	8	8	7	11	3	0	5	2	2	1	7	10	23
ath-miR5645c	1	0	0	3	3	6	5	16	25	3	1	22	26	11	0	20	38	42
ath-miR5645d	0	0	0	3	0	8	8	7	11	3	0	5	2	2	1	7	10	23
ath-miR5645e	0	0	0	3	0	4	8	6	10	3	0	4	1	2	1	5	9	17
ath-miR5645f	0	0	0	3	0	8	8	7	11	3	0	5	2	2	1	7	10	23
ath-miR5646	0	0	1	1	0	1	0	1	1	0	1	4	3	1	2	4	1	1
ath-miR5647	0	0	0	0	0	0	0	0	8	0	0	1	0	0	0	2	2	0
ath-miR5648-3p	0	0	0	0	0	0	0	2	1	0	0	2	1	1	0	1	1	1
ath-miR5648-5p	0	1	0	1	1	4	1	2	0	1	0	3	1	1	0	2	0	0
ath-miR5650	2	1	2	47	1	14	7	56	67	6	0	19	40	11	6	34	50	63
ath-miR5651	28	6	20	259	85	758	322	660	1857	114	46	586	772	335	310	839	706	943
ath-miR5652	0	0	0	5	0	10	3	5	9	2	0	11	9	1	4	9	12	7
ath-miR5653	6	3	6	93	35	201	105	121	194	68	6	99	187	59	26	240	330	245
ath-miR5654-3p	0	0	0	1	0	2	1	5	5	2	1	1	5	0	0	3	4	6
ath-miR5654-5p	0	1	1	7	11	6	19	24	50	41	13	24	55	21	4	55	94	73
ath-miR5655	0	0	0	1	0	0	0	0	4	0	0	1	3	0	0	1	1	3
ath-miR5656	0	0	0	0	1	1	2	2	6	0	0	2	3	1	1	2	5	5
ath-miR5657	0	0	0	1	0	0	0	0	2	1	0	1	6	3	0	2	4	0
ath-miR5658	2	2	6	33	3	54	7	83	87	3	3	49	19	10	21	20	20	21
ath-miR5659	0	0	0	3	1	3	2	3	5	1	3	6	6	6	0	3	16	9
ath-miR5660	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ath-miR5661	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1
ath-miR5662	0	0	1	2	2	13	3	6	5	1	0	5	9	1	4	10	10	11
ath-miR5663-3p	1	0	0	4	0	0	3	10	31	4	0	10	6	5	0	4	14	7
ath-miR5663-5p	1	0	0	7	1	5	2	16	26	2	1	12	8	7	0	18	24	17
ath-miR5664	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ath-miR5665	0	0	0	6	6	7	0	5	1	0	0	0	3	2	0	6	15	8
ath-miR5666	0	0	0	3	1	6	3	10	7	4	1	5	3	0	0	6	2	5
ath-miR5995b	2	1	0	5	2	9	5	20	51	3	5	19	20	7	5	22	24	14
ath-miR5996	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
ath-miR5997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ath-miR5998a	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1
ath-miR5998b	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1
ath-miR771	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
ath-miR773a	74	34	72	706	439	264	231	1330	1823	530	168	1100	619	379	59	811	1091	1086
ath-miR773b-3p	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0
ath-miR774a	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
ath-miR775	50	8	39	335	123	801	372	907	2405	200	74	785	602	464	291	841	721	843
ath-miR777	2	0	2	13	1	4	9	48	94	4	1	22	35	16	1	21	40	43
ath-miR778	0	0	0	1	0	2	0	0	0	0	0	0	1	1	0	0	0	0
ath-miR779.2	5	1	6	164	25	379	24	334	541	34	9	266	133	142	75	146	285	316
ath-miR780.1	0	0	0	0	1	3	0	0	3	0	0	0	1	2	0	1	0	3
ath-miR780.2	2	1	2	13	1	82	15	31	99	8	0	28	34	19	4	57	45	57
ath-miR781a	8	0	4	40	3	51	12	92	197	5	5	66	79	26	26	55	95	138
ath-miR781b	6	0	3	36	3	49	12	91	190	5	5	63	77	25	26	53	91	135
ath-miR8121	1	0	1	10	5	10	2	6	14	2	0	5	4	6	0	4	9	6
ath-miR8165	1	0	0	0	3	9	4	5	7	3	3	5	8	0	2	14	12	4
ath-miR8166	9	3	5	110	22	217	110	232	433	47	20	228	351	81	46	384	663	544
ath-miR8167a	2	0	0	7	11	14	25	12	15	9	3	48	10	9	2	23	76	6
ath-miR8167b	2	0	0	7	11	14	25	12	15	9	3	48	10	9	2	23	76	6
